Day,Month,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),City,State
1,jan,51.3,25.7,0.04,0.04,0,0,Alamo,Nevada
2,jan,51.4,25.8,0.04,0.04,0,0,Alamo,Nevada
3,jan,51.5,25.9,0.08,0.08,0.12,0.12,Alamo,Nevada
4,jan,51.6,25.9,0.08,0.08,0.12,0.12,Alamo,Nevada
5,jan,51.7,26,0.12,0.12,0.12,0.12,Alamo,Nevada
6,jan,51.9,26.1,0.16,0.16,0.12,0.12,Alamo,Nevada
7,jan,52,26.2,0.16,0.16,0.12,0.12,Alamo,Nevada
8,jan,52.1,26.3,0.2,0.2,0.2,0.2,Alamo,Nevada
9,jan,52.3,26.4,0.2,0.2,0.2,0.2,Alamo,Nevada
10,jan,52.4,26.5,0.24,0.24,0.2,0.2,Alamo,Nevada
11,jan,52.5,26.6,0.28,0.28,0.2,0.2,Alamo,Nevada
12,jan,52.7,26.7,0.28,0.28,0.2,0.2,Alamo,Nevada
13,jan,52.8,26.8,0.31,0.31,0.31,0.31,Alamo,Nevada
14,jan,53,26.9,0.35,0.35,0.31,0.31,Alamo,Nevada
15,jan,53.1,26.9,0.35,0.35,0.31,0.31,Alamo,Nevada
16,jan,53.3,27,0.39,0.39,0.31,0.31,Alamo,Nevada
17,jan,53.4,27.1,0.43,0.43,0.31,0.31,Alamo,Nevada
18,jan,53.6,27.2,0.43,0.43,0.39,0.39,Alamo,Nevada
19,jan,53.7,27.3,0.47,0.47,0.39,0.39,Alamo,Nevada
20,jan,53.9,27.4,0.51,0.51,0.39,0.39,Alamo,Nevada
21,jan,54,27.4,0.51,0.51,0.39,0.39,Alamo,Nevada
22,jan,54.2,27.5,0.55,0.55,0.39,0.39,Alamo,Nevada
23,jan,54.3,27.6,0.55,0.55,0.51,0.51,Alamo,Nevada
24,jan,54.4,27.7,0.59,0.59,0.51,0.51,Alamo,Nevada
25,jan,54.6,27.8,0.59,0.59,0.51,0.51,Alamo,Nevada
26,jan,54.7,27.9,0.63,0.63,0.51,0.51,Alamo,Nevada
27,jan,54.9,27.9,0.67,0.67,0.51,0.51,Alamo,Nevada
28,jan,55,28,0.67,0.67,0.59,0.59,Alamo,Nevada
29,jan,55.2,28.1,0.71,0.71,0.59,0.59,Alamo,Nevada
30,jan,55.3,28.2,0.75,0.75,0.59,0.59,Alamo,Nevada
31,jan,55.5,28.3,0.75,0.75,0.59,0.59,Alamo,Nevada
1,feb,55.7,28.4,0.04,0.79,0,0.59,Alamo,Nevada
2,feb,55.8,28.5,0.04,0.79,0,0.59,Alamo,Nevada
3,feb,56,28.6,0.08,0.83,0,0.59,Alamo,Nevada
4,feb,56.1,28.7,0.08,0.83,0,0.59,Alamo,Nevada
5,feb,56.3,28.8,0.12,0.87,0.12,0.71,Alamo,Nevada
6,feb,56.5,28.9,0.12,0.87,0.12,0.71,Alamo,Nevada
7,feb,56.6,29,0.16,0.91,0.12,0.71,Alamo,Nevada
8,feb,56.8,29.2,0.16,0.91,0.12,0.71,Alamo,Nevada
9,feb,57,29.3,0.2,0.94,0.12,0.71,Alamo,Nevada
10,feb,57.2,29.4,0.24,0.98,0.12,0.71,Alamo,Nevada
11,feb,57.4,29.5,0.24,0.98,0.12,0.71,Alamo,Nevada
12,feb,57.6,29.7,0.28,1.02,0.12,0.71,Alamo,Nevada
13,feb,57.8,29.8,0.28,1.02,0.12,0.71,Alamo,Nevada
14,feb,58,30,0.31,1.06,0.12,0.71,Alamo,Nevada
15,feb,58.2,30.1,0.35,1.1,0.2,0.79,Alamo,Nevada
16,feb,58.4,30.3,0.35,1.1,0.2,0.79,Alamo,Nevada
17,feb,58.6,30.5,0.39,1.14,0.2,0.79,Alamo,Nevada
18,feb,58.8,30.6,0.43,1.18,0.2,0.79,Alamo,Nevada
19,feb,59,30.8,0.43,1.18,0.2,0.79,Alamo,Nevada
20,feb,59.3,31,0.47,1.22,0.2,0.79,Alamo,Nevada
21,feb,59.5,31.2,0.51,1.26,0.2,0.79,Alamo,Nevada
22,feb,59.7,31.3,0.55,1.3,0.2,0.79,Alamo,Nevada
23,feb,60,31.5,0.55,1.3,0.2,0.79,Alamo,Nevada
24,feb,60.2,31.7,0.59,1.34,0.2,0.79,Alamo,Nevada
25,feb,60.5,31.9,0.59,1.38,0.2,0.79,Alamo,Nevada
26,feb,60.7,32.1,0.63,1.38,0.2,0.79,Alamo,Nevada
27,feb,60.9,32.3,0.67,1.42,0.2,0.79,Alamo,Nevada
28,feb,61.2,32.5,0.67,1.42,0.2,0.79,Alamo,Nevada
29,feb,61.3,32.6,0,0,0,0,Alamo,Nevada
1,mar,61.4,32.7,0.04,1.46,0,0.79,Alamo,Nevada
2,mar,61.7,32.9,0.04,1.5,0,0.79,Alamo,Nevada
3,mar,61.9,33.1,0.08,1.5,0,0.79,Alamo,Nevada
4,mar,62.2,33.3,0.12,1.54,0,0.79,Alamo,Nevada
5,mar,62.4,33.5,0.16,1.57,0,0.79,Alamo,Nevada
6,mar,62.7,33.7,0.16,1.61,0,0.79,Alamo,Nevada
7,mar,62.9,33.9,0.2,1.61,0,0.79,Alamo,Nevada
8,mar,63.2,34.1,0.24,1.65,0,0.79,Alamo,Nevada
9,mar,63.4,34.3,0.28,1.69,0,0.79,Alamo,Nevada
10,mar,63.7,34.5,0.28,1.69,0,0.79,Alamo,Nevada
11,mar,63.9,34.7,0.31,1.73,0,0.79,Alamo,Nevada
12,mar,64.2,34.9,0.31,1.77,0,0.79,Alamo,Nevada
13,mar,64.4,35.1,0.35,1.77,0,0.79,Alamo,Nevada
14,mar,64.7,35.3,0.39,1.81,0,0.79,Alamo,Nevada
15,mar,64.9,35.4,0.39,1.81,0,0.79,Alamo,Nevada
16,mar,65.2,35.6,0.43,1.85,0,0.79,Alamo,Nevada
17,mar,65.4,35.8,0.43,1.85,0,0.79,Alamo,Nevada
18,mar,65.6,36,0.47,1.89,0,0.79,Alamo,Nevada
19,mar,65.9,36.2,0.47,1.93,0,0.79,Alamo,Nevada
20,mar,66.1,36.4,0.51,1.93,0,0.79,Alamo,Nevada
21,mar,66.3,36.6,0.51,1.97,0,0.79,Alamo,Nevada
22,mar,66.6,36.7,0.55,1.97,0,0.79,Alamo,Nevada
23,mar,66.8,36.9,0.55,2.01,0,0.79,Alamo,Nevada
24,mar,67,37.1,0.59,2.01,0,0.79,Alamo,Nevada
25,mar,67.2,37.3,0.59,2.05,0,0.79,Alamo,Nevada
26,mar,67.5,37.5,0.63,2.05,0,0.79,Alamo,Nevada
27,mar,67.7,37.7,0.67,2.09,0,0.79,Alamo,Nevada
28,mar,67.9,37.8,0.67,2.09,0,0.79,Alamo,Nevada
29,mar,68.2,38,0.71,2.13,0,0.79,Alamo,Nevada
30,mar,68.4,38.2,0.71,2.13,0,0.79,Alamo,Nevada
31,mar,68.6,38.4,0.75,2.17,0,0.79,Alamo,Nevada
1,apr,68.8,38.6,0.04,2.17,0,0.79,Alamo,Nevada
2,apr,69.1,38.8,0.04,2.2,0,0.79,Alamo,Nevada
3,apr,69.3,39,0.04,2.2,0,0.79,Alamo,Nevada
4,apr,69.6,39.2,0.08,2.24,0,0.79,Alamo,Nevada
5,apr,69.8,39.4,0.08,2.24,0,0.79,Alamo,Nevada
6,apr,70,39.6,0.12,2.28,0,0.79,Alamo,Nevada
7,apr,70.3,39.8,0.12,2.28,0,0.79,Alamo,Nevada
8,apr,70.5,40,0.16,2.28,0,0.79,Alamo,Nevada
9,apr,70.8,40.2,0.16,2.32,0,0.79,Alamo,Nevada
10,apr,71,40.4,0.2,2.32,0,0.79,Alamo,Nevada
11,apr,71.3,40.7,0.2,2.36,0,0.79,Alamo,Nevada
12,apr,71.6,40.9,0.2,2.36,0,0.79,Alamo,Nevada
13,apr,71.8,41.1,0.24,2.4,0,0.79,Alamo,Nevada
14,apr,72.1,41.3,0.24,2.4,0,0.79,Alamo,Nevada
15,apr,72.4,41.6,0.28,2.4,0,0.79,Alamo,Nevada
16,apr,72.7,41.8,0.28,2.44,0,0.79,Alamo,Nevada
17,apr,73,42,0.28,2.44,0,0.79,Alamo,Nevada
18,apr,73.3,42.3,0.31,2.44,0,0.79,Alamo,Nevada
19,apr,73.6,42.5,0.31,2.48,0,0.79,Alamo,Nevada
20,apr,73.9,42.8,0.31,2.48,0,0.79,Alamo,Nevada
21,apr,74.2,43,0.35,2.52,0,0.79,Alamo,Nevada
22,apr,74.5,43.3,0.35,2.52,0,0.79,Alamo,Nevada
23,apr,74.8,43.5,0.39,2.56,0,0.79,Alamo,Nevada
24,apr,75.1,43.8,0.39,2.56,0,0.79,Alamo,Nevada
25,apr,75.4,44.1,0.39,2.56,0,0.79,Alamo,Nevada
26,apr,75.8,44.3,0.43,2.6,0,0.79,Alamo,Nevada
27,apr,76.1,44.6,0.43,2.6,0,0.79,Alamo,Nevada
28,apr,76.4,44.8,0.43,2.6,0,0.79,Alamo,Nevada
29,apr,76.8,45.1,0.47,2.64,0,0.79,Alamo,Nevada
30,apr,77.1,45.4,0.47,2.64,0,0.79,Alamo,Nevada
1,may,77.5,45.6,0,2.64,0,0.79,Alamo,Nevada
2,may,77.8,45.9,0.04,2.68,0,0.79,Alamo,Nevada
3,may,78.1,46.2,0.04,2.68,0,0.79,Alamo,Nevada
4,may,78.5,46.4,0.04,2.68,0,0.79,Alamo,Nevada
5,may,78.8,46.7,0.08,2.72,0,0.79,Alamo,Nevada
6,may,79.2,47,0.08,2.72,0,0.79,Alamo,Nevada
7,may,79.6,47.2,0.08,2.72,0,0.79,Alamo,Nevada
8,may,79.9,47.5,0.08,2.72,0,0.79,Alamo,Nevada
9,may,80.3,47.8,0.12,2.76,0,0.79,Alamo,Nevada
10,may,80.6,48.1,0.12,2.76,0,0.79,Alamo,Nevada
11,may,81,48.3,0.12,2.76,0,0.79,Alamo,Nevada
12,may,81.4,48.6,0.12,2.76,0,0.79,Alamo,Nevada
13,may,81.7,48.9,0.16,2.8,0,0.79,Alamo,Nevada
14,may,82.1,49.1,0.16,2.8,0,0.79,Alamo,Nevada
15,may,82.4,49.4,0.16,2.8,0,0.79,Alamo,Nevada
16,may,82.8,49.7,0.2,2.83,0,0.79,Alamo,Nevada
17,may,83.2,49.9,0.2,2.83,0,0.79,Alamo,Nevada
18,may,83.5,50.2,0.2,2.83,0,0.79,Alamo,Nevada
19,may,83.9,50.5,0.2,2.83,0,0.79,Alamo,Nevada
20,may,84.2,50.8,0.24,2.87,0,0.79,Alamo,Nevada
21,may,84.6,51,0.24,2.87,0,0.79,Alamo,Nevada
22,may,85,51.3,0.24,2.87,0,0.79,Alamo,Nevada
23,may,85.3,51.6,0.24,2.87,0,0.79,Alamo,Nevada
24,may,85.7,51.9,0.28,2.91,0,0.79,Alamo,Nevada
25,may,86,52.1,0.28,2.91,0,0.79,Alamo,Nevada
26,may,86.4,52.4,0.28,2.91,0,0.79,Alamo,Nevada
27,may,86.8,52.7,0.28,2.91,0,0.79,Alamo,Nevada
28,may,87.1,53,0.31,2.95,0,0.79,Alamo,Nevada
29,may,87.5,53.3,0.31,2.95,0,0.79,Alamo,Nevada
30,may,87.8,53.6,0.31,2.95,0,0.79,Alamo,Nevada
31,may,88.2,53.9,0.31,2.95,0,0.79,Alamo,Nevada
1,jun,88.5,54.2,0,2.99,0,0.79,Alamo,Nevada
2,jun,88.9,54.5,0,2.99,0,0.79,Alamo,Nevada
3,jun,89.2,54.8,0.04,2.99,0,0.79,Alamo,Nevada
4,jun,89.6,55.1,0.04,2.99,0,0.79,Alamo,Nevada
5,jun,89.9,55.4,0.04,2.99,0,0.79,Alamo,Nevada
6,jun,90.3,55.7,0.04,2.99,0,0.79,Alamo,Nevada
7,jun,90.6,56,0.04,3.03,0,0.79,Alamo,Nevada
8,jun,91,56.4,0.04,3.03,0,0.79,Alamo,Nevada
9,jun,91.3,56.7,0.08,3.03,0,0.79,Alamo,Nevada
10,jun,91.7,57,0.08,3.03,0,0.79,Alamo,Nevada
11,jun,92,57.3,0.08,3.03,0,0.79,Alamo,Nevada
12,jun,92.3,57.6,0.08,3.03,0,0.79,Alamo,Nevada
13,jun,92.7,58,0.08,3.03,0,0.79,Alamo,Nevada
14,jun,93,58.3,0.08,3.03,0,0.79,Alamo,Nevada
15,jun,93.3,58.6,0.08,3.03,0,0.79,Alamo,Nevada
16,jun,93.6,58.9,0.08,3.03,0,0.79,Alamo,Nevada
17,jun,93.9,59.2,0.08,3.03,0,0.79,Alamo,Nevada
18,jun,94.3,59.6,0.08,3.07,0,0.79,Alamo,Nevada
19,jun,94.6,59.9,0.08,3.07,0,0.79,Alamo,Nevada
20,jun,94.9,60.2,0.08,3.07,0,0.79,Alamo,Nevada
21,jun,95.1,60.5,0.08,3.07,0,0.79,Alamo,Nevada
22,jun,95.4,60.8,0.08,3.07,0,0.79,Alamo,Nevada
23,jun,95.7,61.1,0.12,3.07,0,0.79,Alamo,Nevada
24,jun,96,61.4,0.12,3.07,0,0.79,Alamo,Nevada
25,jun,96.2,61.6,0.12,3.07,0,0.79,Alamo,Nevada
26,jun,96.5,61.9,0.12,3.07,0,0.79,Alamo,Nevada
27,jun,96.7,62.2,0.12,3.07,0,0.79,Alamo,Nevada
28,jun,97,62.4,0.12,3.07,0,0.79,Alamo,Nevada
29,jun,97.2,62.7,0.12,3.07,0,0.79,Alamo,Nevada
30,jun,97.4,62.9,0.12,3.07,0,0.79,Alamo,Nevada
1,jul,97.6,63.2,0,3.07,0,0.79,Alamo,Nevada
2,jul,97.8,63.4,0,3.07,0,0.79,Alamo,Nevada
3,jul,98,63.6,0.04,3.11,0,0.79,Alamo,Nevada
4,jul,98.2,63.8,0.04,3.11,0,0.79,Alamo,Nevada
5,jul,98.4,64,0.04,3.11,0,0.79,Alamo,Nevada
6,jul,98.6,64.2,0.04,3.11,0,0.79,Alamo,Nevada
7,jul,98.7,64.3,0.04,3.15,0,0.79,Alamo,Nevada
8,jul,98.8,64.5,0.08,3.15,0,0.79,Alamo,Nevada
9,jul,99,64.6,0.08,3.15,0,0.79,Alamo,Nevada
10,jul,99.1,64.8,0.08,3.19,0,0.79,Alamo,Nevada
11,jul,99.2,64.9,0.12,3.19,0,0.79,Alamo,Nevada
12,jul,99.3,65,0.12,3.19,0,0.79,Alamo,Nevada
13,jul,99.4,65.1,0.12,3.23,0,0.79,Alamo,Nevada
14,jul,99.5,65.2,0.16,3.23,0,0.79,Alamo,Nevada
15,jul,99.5,65.2,0.16,3.23,0,0.79,Alamo,Nevada
16,jul,99.6,65.3,0.2,3.27,0,0.79,Alamo,Nevada
17,jul,99.6,65.4,0.2,3.27,0,0.79,Alamo,Nevada
18,jul,99.7,65.4,0.24,3.31,0,0.79,Alamo,Nevada
19,jul,99.7,65.4,0.24,3.31,0,0.79,Alamo,Nevada
20,jul,99.7,65.5,0.28,3.35,0,0.79,Alamo,Nevada
21,jul,99.7,65.5,0.28,3.35,0,0.79,Alamo,Nevada
22,jul,99.7,65.5,0.28,3.39,0,0.79,Alamo,Nevada
23,jul,99.7,65.5,0.31,3.39,0,0.79,Alamo,Nevada
24,jul,99.7,65.5,0.31,3.43,0,0.79,Alamo,Nevada
25,jul,99.7,65.5,0.35,3.43,0,0.79,Alamo,Nevada
26,jul,99.7,65.4,0.35,3.46,0,0.79,Alamo,Nevada
27,jul,99.6,65.4,0.39,3.46,0,0.79,Alamo,Nevada
28,jul,99.6,65.4,0.39,3.5,0,0.79,Alamo,Nevada
29,jul,99.5,65.3,0.43,3.5,0,0.79,Alamo,Nevada
30,jul,99.5,65.3,0.47,3.54,0,0.79,Alamo,Nevada
31,jul,99.4,65.2,0.47,3.54,0,0.79,Alamo,Nevada
1,aug,99.4,65.1,0,3.58,0,0.79,Alamo,Nevada
2,aug,99.3,65.1,0.04,3.58,0,0.79,Alamo,Nevada
3,aug,99.2,65,0.04,3.62,0,0.79,Alamo,Nevada
4,aug,99.1,64.9,0.08,3.62,0,0.79,Alamo,Nevada
5,aug,99.1,64.8,0.08,3.66,0,0.79,Alamo,Nevada
6,aug,99,64.7,0.12,3.66,0,0.79,Alamo,Nevada
7,aug,98.9,64.6,0.12,3.7,0,0.79,Alamo,Nevada
8,aug,98.8,64.5,0.16,3.7,0,0.79,Alamo,Nevada
9,aug,98.7,64.4,0.16,3.74,0,0.79,Alamo,Nevada
10,aug,98.6,64.3,0.2,3.74,0,0.79,Alamo,Nevada
11,aug,98.5,64.2,0.2,3.78,0,0.79,Alamo,Nevada
12,aug,98.3,64.1,0.24,3.78,0,0.79,Alamo,Nevada
13,aug,98.2,64,0.24,3.82,0,0.79,Alamo,Nevada
14,aug,98.1,63.8,0.28,3.82,0,0.79,Alamo,Nevada
15,aug,98,63.7,0.28,3.86,0,0.79,Alamo,Nevada
16,aug,97.8,63.6,0.31,3.86,0,0.79,Alamo,Nevada
17,aug,97.7,63.4,0.31,3.9,0,0.79,Alamo,Nevada
18,aug,97.5,63.3,0.35,3.9,0,0.79,Alamo,Nevada
19,aug,97.4,63.1,0.35,3.94,0,0.79,Alamo,Nevada
20,aug,97.2,62.9,0.39,3.94,0,0.79,Alamo,Nevada
21,aug,97.1,62.7,0.39,3.98,0,0.79,Alamo,Nevada
22,aug,96.9,62.6,0.43,3.98,0,0.79,Alamo,Nevada
23,aug,96.7,62.4,0.47,4.02,0,0.79,Alamo,Nevada
24,aug,96.5,62.2,0.47,4.06,0,0.79,Alamo,Nevada
25,aug,96.3,62,0.51,4.06,0,0.79,Alamo,Nevada
26,aug,96.1,61.8,0.51,4.09,0,0.79,Alamo,Nevada
27,aug,95.9,61.5,0.55,4.09,0,0.79,Alamo,Nevada
28,aug,95.7,61.3,0.55,4.13,0,0.79,Alamo,Nevada
29,aug,95.5,61.1,0.59,4.13,0,0.79,Alamo,Nevada
30,aug,95.2,60.8,0.59,4.17,0,0.79,Alamo,Nevada
31,aug,95,60.5,0.63,4.17,0,0.79,Alamo,Nevada
1,sep,94.7,60.3,0.04,4.21,0,0.79,Alamo,Nevada
2,sep,94.5,60,0.04,4.21,0,0.79,Alamo,Nevada
3,sep,94.2,59.7,0.04,4.21,0,0.79,Alamo,Nevada
4,sep,93.9,59.4,0.04,4.21,0,0.79,Alamo,Nevada
5,sep,93.6,59.1,0.08,4.25,0,0.79,Alamo,Nevada
6,sep,93.3,58.8,0.08,4.25,0,0.79,Alamo,Nevada
7,sep,93,58.4,0.08,4.25,0,0.79,Alamo,Nevada
8,sep,92.7,58.1,0.12,4.29,0,0.79,Alamo,Nevada
9,sep,92.4,57.7,0.12,4.29,0,0.79,Alamo,Nevada
10,sep,92,57.4,0.12,4.29,0,0.79,Alamo,Nevada
11,sep,91.7,57,0.12,4.29,0,0.79,Alamo,Nevada
12,sep,91.3,56.6,0.16,4.33,0,0.79,Alamo,Nevada
13,sep,91,56.3,0.16,4.33,0,0.79,Alamo,Nevada
14,sep,90.6,55.9,0.16,4.33,0,0.79,Alamo,Nevada
15,sep,90.2,55.5,0.16,4.33,0,0.79,Alamo,Nevada
16,sep,89.8,55.1,0.2,4.37,0,0.79,Alamo,Nevada
17,sep,89.5,54.7,0.2,4.37,0,0.79,Alamo,Nevada
18,sep,89.1,54.3,0.2,4.41,0,0.79,Alamo,Nevada
19,sep,88.7,53.9,0.24,4.41,0,0.79,Alamo,Nevada
20,sep,88.3,53.5,0.24,4.41,0,0.79,Alamo,Nevada
21,sep,87.9,53,0.24,4.41,0,0.79,Alamo,Nevada
22,sep,87.4,52.6,0.24,4.45,0,0.79,Alamo,Nevada
23,sep,87,52.2,0.28,4.45,0,0.79,Alamo,Nevada
24,sep,86.6,51.8,0.28,4.45,0,0.79,Alamo,Nevada
25,sep,86.2,51.4,0.28,4.45,0,0.79,Alamo,Nevada
26,sep,85.7,50.9,0.28,4.49,0,0.79,Alamo,Nevada
27,sep,85.3,50.5,0.31,4.49,0,0.79,Alamo,Nevada
28,sep,84.9,50.1,0.31,4.49,0,0.79,Alamo,Nevada
29,sep,84.5,49.7,0.31,4.49,0,0.79,Alamo,Nevada
30,sep,84,49.3,0.31,4.53,0,0.79,Alamo,Nevada
1,oct,83.6,48.9,0,4.53,0,0.79,Alamo,Nevada
2,oct,83.2,48.5,0.04,4.53,0,0.79,Alamo,Nevada
3,oct,82.7,48.1,0.04,4.53,0,0.79,Alamo,Nevada
4,oct,82.3,47.7,0.04,4.57,0,0.79,Alamo,Nevada
5,oct,81.9,47.3,0.04,4.57,0,0.79,Alamo,Nevada
6,oct,81.4,46.9,0.08,4.57,0,0.79,Alamo,Nevada
7,oct,81,46.5,0.08,4.61,0,0.79,Alamo,Nevada
8,oct,80.6,46.2,0.08,4.61,0,0.79,Alamo,Nevada
9,oct,80.1,45.8,0.12,4.61,0,0.79,Alamo,Nevada
10,oct,79.7,45.4,0.12,4.61,0,0.79,Alamo,Nevada
11,oct,79.3,45.1,0.12,4.65,0,0.79,Alamo,Nevada
12,oct,78.9,44.7,0.16,4.65,0,0.79,Alamo,Nevada
13,oct,78.4,44.4,0.16,4.65,0,0.79,Alamo,Nevada
14,oct,78,44,0.16,4.69,0,0.79,Alamo,Nevada
15,oct,77.6,43.7,0.2,4.69,0,0.79,Alamo,Nevada
16,oct,77.1,43.4,0.2,4.69,0,0.79,Alamo,Nevada
17,oct,76.7,43,0.2,4.72,0,0.79,Alamo,Nevada
18,oct,76.3,42.7,0.24,4.72,0,0.79,Alamo,Nevada
19,oct,75.8,42.4,0.24,4.76,0,0.79,Alamo,Nevada
20,oct,75.4,42.1,0.28,4.76,0,0.79,Alamo,Nevada
21,oct,75,41.7,0.28,4.76,0,0.79,Alamo,Nevada
22,oct,74.5,41.4,0.28,4.8,0,0.79,Alamo,Nevada
23,oct,74.1,41.1,0.31,4.8,0,0.79,Alamo,Nevada
24,oct,73.7,40.8,0.31,4.84,0,0.79,Alamo,Nevada
25,oct,73.2,40.5,0.35,4.84,0,0.79,Alamo,Nevada
26,oct,72.8,40.2,0.35,4.88,0,0.79,Alamo,Nevada
27,oct,72.3,39.9,0.39,4.88,0,0.79,Alamo,Nevada
28,oct,71.8,39.5,0.39,4.92,0,0.79,Alamo,Nevada
29,oct,71.4,39.2,0.43,4.92,0,0.79,Alamo,Nevada
30,oct,70.9,38.9,0.43,4.96,0,0.79,Alamo,Nevada
31,oct,70.4,38.6,0.47,4.96,0,0.79,Alamo,Nevada
1,nov,70,38.2,0.04,5,0,0.79,Alamo,Nevada
2,nov,69.5,37.9,0.04,5.04,0,0.79,Alamo,Nevada
3,nov,69,37.6,0.08,5.04,0,0.79,Alamo,Nevada
4,nov,68.5,37.2,0.08,5.04,0,0.79,Alamo,Nevada
5,nov,68,36.9,0.08,5.08,0,0.79,Alamo,Nevada
6,nov,67.5,36.6,0.12,5.08,0,0.91,Alamo,Nevada
7,nov,67,36.2,0.12,5.12,0.12,0.91,Alamo,Nevada
8,nov,66.5,35.9,0.16,5.12,0.12,0.91,Alamo,Nevada
9,nov,66,35.5,0.16,5.16,0.12,0.91,Alamo,Nevada
10,nov,65.5,35.2,0.2,5.16,0.12,0.91,Alamo,Nevada
11,nov,65,34.8,0.2,5.2,0.12,0.91,Alamo,Nevada
12,nov,64.5,34.4,0.2,5.2,0.12,0.91,Alamo,Nevada
13,nov,63.9,34.1,0.24,5.2,0.12,0.91,Alamo,Nevada
