State,avg_salary,City,max_high,min_low,max_precipitation,min_precipitation,max_days_with_precipitation,min_days_with_precipitation,max_hours_sunshine,min_hours_sunshine,adopted_common_core,Rank,Index, Grocery,Housing,Utilities,Transportation,Heath ,Misc.,year,state_id,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total,starting_salary,Region
Alabama,48868,Montgomery,92,36,5.94,2.91,NA,NA,NA,NA,TRUE,89.3,11,97.4,71.5,103.3,88.6,90.8,97.6,2017,2,AL,4874747,524.150278978581,8.28760959286708,0,41.6021590453823,86.5070535968328,387.753456743499,2957.28168046465,645.715562264052,2048.14731923523,263.418798965362,6962.86391888646,38491,East South Central
Alaska,68138,Anchorage,65,11,3.27,0.47,15,4,288,49,FALSE,129.9,45,134.2,133.9,154.2,130.8,150.9,115.7,2017,1,AK,739795,829.013442913239,8.38070005880007,0,116.653937915233,128.549125095466,575.42967984374,3542.06232807737,563.804837826695,2402.69263782534,575.564852425334,8742.15154198122,46954,Pacific
Arizona,47403,Phoenix,106,45,1.06,0.04,5,1,404,236,TRUE,97,24,96.9,91.7,107.4,109.6,94.7,95.6,2017,5,AZ,7016270,508.019218188582,5.92907627557092,0,51.038514766393,106.039248774634,345.012378371984,2914.86787139035,536.28209860795,2106.95996590781,271.625806874593,6845.77417915787,34473,Mountain
Arkansas,48616,Little Rock,93,32,5.28,2.6,11,6,351,166,TRUE,86.9,2,92,73.9,91.8,83.6,85.6,95.7,2017,3,AR,3004279,554.90851548741,8.58775100448394,0,68.3358636131997,64.4081325336295,413.576768336097,3078.57559168107,727.695397131891,2109.45787658204,241.42231796714,7266.96821433695,33323,West South Central
California,78711,Sacramento,92,38,3.62,0.04,NA,NA,NA,NA,TRUE,151.7,49,121.4,227.3,117.7,138.9,114.5,116.2,2017,6,CA,39536653,449.271717562941,4.62861638793754,0,37.2338042878845,143.213943780218,264.195353106901,2496.70603123638,446.901764800374,1623.89315049,425.911115946006,5891.95549759865,46992,Pacific
Colorado,46506,Denver,90,18,2.17,0.31,NA,NA,NA,NA,TRUE,105.6,33,102.5,119,88.4,101.2,102.9,101.3,2017,7,CO,5607154,368.065510595928,3.9413934413073,0,68.8049588079799,68.4482716187214,226.870886727919,2701.60227452287,406.855242427798,1904.87009987598,389.87693221909,6139.33557023759,33483,Mountain
Connecticut,72561,Bridgeport,82,23,4.13,2.8,NA,NA,NA,NA,TRUE,127.7,43,114.2,144.7,128.1,111.8,113.7,124.3,2017,8,CT,3588184,227.970471971337,2.84266358692865,0,23.3265629633263,78.3962026473559,123.405042773726,1769.94825237502,247.757640076429,1318.49425781955,203.696354479035,3995.83744869271,45922,New England
Delaware,60214,Dover,87,27,4.37,3.07,NA,NA,NA,NA,TRUE,108.1,35,113.4,98.2,96.5,107,101.6,118.6,2017,11,DE,961939,453.355150378558,5.61366157313509,0,34.7215363967985,112.481144854299,300.538807554325,2440.59134726838,412.708082321228,1885.5665483986,142.316716548555,5787.89299529388,41639,South Atlantic
District of Columbia,76131,Washington,87,27,4.88,2.48,12,8,226,66,TRUE,158.4,50,115.5,267,119.7,116.6,97.3,111.8,2017,10,DC,693972,1004.93968056348,16.7153718017442,0,63.9795265515035,377.969139965301,546.275642244932,4283.89041632804,260.673341287545,3650.43546425504,372.78161078545,10577.660193783,55209,South Atlantic
Florida,49407,Tallahassee,92,39,7.72,3.07,NA,NA,NA,NA,FALSE,97.9,26,104,95.4,102.2,96.7,96.9,96.9,2017,12,FL,20984400,408.041211566688,5.03707516059549,0,37.8376317645489,88.6229770686796,276.543527572864,2512.43781094527,423.424067402451,1884.50944511161,204.504298431216,5840.95804502392,37636,South Atlantic
Georgia,54602,Atlanta,90,34,5.28,3.35,NA,NA,NA,NA,TRUE,89.2,9,96.9,73.8,92.4,97.6,98.5,95.2,2017,13,GA,10429379,357.240829008132,6.74057391144765,0,26.0609955779726,96.3048710762165,228.134388442495,2860.17029393601,530.942446333574,2077.41036163323,251.817485969203,6434.82224588827,35474,South Atlantic
Hawaii,57674,Honolulu,89,66,3.23,0.28,15,11,293,202,TRUE,192.9,51,169.3,318.6,172.7,148.6,116.8,122.4,2017,15,HI,1427538,250.571263251836,2.73197631166386,0,39.718732531113,75.4445766067173,132.675977802342,2829.48685078786,388.711193677506,2071.6786523371,369.097004773253,6160.11622807939,46790,Pacific
Idaho,47504,Boise,91,24,1.54,0.24,11,2,399,105,TRUE,92.3,19,92.2,87.1,82.9,106.7,97.3,94.6,2017,17,ID,1716943,226.448985202188,1.86377765598509,0,41.177837586920504,11.4156381429086,171.991731816374,1635.40665007516,329.364457643614,1181.05260337705,124.9895890545,3723.7112705547,34801,Mountain
Illinois,61602,Chicago,84,18,4.13,1.93,11,8,318,106,TRUE,94.5,21,94.2,87.2,100.9,100.9,99,96.9,2017,18,IL,12802023,438.836893200395,7.7878316575435,0,43.3993908618974,137.220500228753,250.429170452201,2011.37742058423,339.469785361267,1508.80060127997,163.107033942995,4900.42862756925,39236,East North Central
Indiana,50554,Richmond,85,19,4.76,2.28,NA,NA,NA,NA,FALSE,90,12,93.3,77.3,97,93.1,94.3,96.3,2017,19,IN,6666818,398.960943586581,5.95486482456848,0,39.3741062077891,98.9977527510126,254.63421980321,2416.92513579942,452.089737562957,1733.82564215792,231.009756078537,5631.772158772,35943,East North Central
Iowa,55443,Des Moines,86,14,4.92,0.91,12,7,337,130,TRUE,90.1,13,95.9,79.6,95.3,95.5,97.8,93,2017,16,IA,3145711,293.415383676377,3.30608883015636,0,39.2280155424322,39.8320125402492,211.049266763539,2125.27469942407,479.319301741323,1468.60280553427,177.352592148484,4837.3801662009,37048,West North Central
Kansas,47984,Topeka,89,20,5.39,0.87,NA,NA,NA,NA,TRUE,89,8,91.9,73.8,103,92.3,98.9,95,2017,20,KS,2913123,412.958876092771,5.49238737945497,0,55.8507141648327,61.2744467020445,290.341327846438,2800.87727157418,478.21530364492,2053.32902180924,269.332946120023,6427.67229533391,35769,West North Central
Kentucky,52339,Frankfort,87,21,4.61,2.68,NA,NA,NA,NA,TRUE,90.9,16,89.9,77.4,97.6,92.8,89.2,100.6,2017,21,KY,4454189,225.765004583326,5.90455411748356,0,37.2907391222061,66.409395739606,116.16031560403,2129.07445103924,453.393423583957,1445.69527696288,229.985750492402,4709.67891124512,36752,East South Central
Louisiana,50000,New Orleans,91,45,7.91,3.54,13,6,279,151,TRUE,93.9,20,99.9,86.6,89.3,98.5,98.8,97.1,2017,22,LA,4684333,557.005661211532,12.4243942520739,0,39.856261286292,114.381279042288,390.343726630878,3366.79736474755,731.480874651738,2401.30238392531,234.014106170505,7847.60605191817,40303,West South Central
Maine,51077,Augusta,79,11,4.37,2.44,NA,NA,NA,NA,TRUE,117.5,40,107,123.1,116.1,121.4,121.8,115.6,2017,25,ME,1335907,121.041359915024,1.72167673348519,0,35.4066563016737,18.639022027731,65.2740048521342,1507.06598588075,249.568270845201,1198.13729548539,59.3604195501633,3256.21469159156,34788,New England
Maryland,66961,Baltimore,89,29,4.61,2.6,11,8,291,145,TRUE,129.7,44,108.5,184.5,107.3,116.7,89.2,105.7,2017,24,MD,6052177,500.200175903646,9.02154712263042,0,27.9403593120294,185.05737687447,278.180892594516,2222.27472858114,388.42221567545,1609.66871920633,224.183793699358,5444.94980896957,45147,South Atlantic
Massachusetts,77804,Boston,81,22,4.29,3.23,12,8,300,142,TRUE,131.6,46,113.9,170.3,109.7,116,117.6,117.3,2017,23,MA,6859819,358.026939194751,2.5219324299956,0,32.0270840965337,71.0077044306854,252.470218237537,1436.99126755385,249.117360093612,1077.95847091592,109.915436544317,3590.03641349721,45498,New England
Michigan,62200,Lansing,82,17,3.5,1.46,NA,NA,NA,NA,TRUE,88.9,7,89.3,75.2,97.3,97.4,93,95.3,2017,26,MI,9962311,449.955838559949,5.71152617098583,0,70.5759938632713,65.1254513134553,308.542867212236,1799.96388388196,357.758355465915,1245.73505083308,196.470477582962,4499.83944488382,36599,East North Central
Minnesota,57346,Saint Paul,85,7,4.76,0.67,NA,NA,NA,NA,FALSE,101.6,31,106.7,88.3,96.8,103.7,108.6,110.7,2017,27,MN,5576606,238.334929883876,2.02632210344428,0,42.7679488204833,64.9319675802809,128.608691379667,2191.51218501002,336.889498738121,1675.67871927836,178.943966993544,4859.6942297878,38529,West North Central
Mississippi,42925,Jackson,92,35,5.16,3.03,NA,NA,NA,NA,TRUE,86.1,1,91.6,70.1,89.1,89.2,91.4,95.4,2017,29,MS,2984100,285.714285714286,8.21018062397373,0,36.5604369826748,69.4011594785698,171.542508629067,2733.85610401796,828.055360075065,1750.61157467913,155.189169263765,6039.1407794645,34784,East South Central
Missouri,48293,Jefferson City,88,21,5.16,1.89,NA,NA,NA,NA,TRUE,87.1,4,96.6,70.6,99.6,87.3,95.7,93,2017,28,MO,6113532,530.299015364604,9.81429393025178,0,44.6386802260952,103.884301251715,371.961739956542,2833.92644382985,492.039626193173,2016.03590199577,325.850915640909,6728.45091838891,32226,West North Central
Montana,51422,Helena,86,12,2.05,0.31,NA,NA,NA,NA,TRUE,106.9,34,105.1,111.6,83.9,125,98.4,105.8,2017,30,MT,1050493,377.061056094615,3.90292938648806,0,58.35355399798,28.0820529027799,286.722519807367,2591.64030602774,344.124139808642,2000.77487427332,246.741291945782,5937.40272424471,31418,Mountain
Nebraska,52338,Omaha,88,12,4.45,0.79,12,6,331,133,FALSE,90.8,14,95.5,80.9,90.8,94.3,99.9,95.3,2017,31,NE,1920076,305.873309181512,2.23949468666865,0,62.0287946935434,50.4146710859362,191.190348715363,2274.02456986078,337.069990979524,1665.97572179435,270.978857086907,5159.79575808458,34465,West North Central
Nevada,57376,Carson City,90,22,1.57,0.2,NA,NA,NA,NA,TRUE,108.5,36,108.3,121.8,89,123.5,105.7,98.7,2017,37,NV,2998039,555.930059615635,9.13930739393317,0,63.0412079362543,161.472215671644,322.277328613804,2612.44099893297,668.737131171409,1516.357859254,427.346008507561,6336.74211709721,39054,Mountain
New Hampshire,57253,Concord,82,10,4.06,2.64,NA,NA,NA,NA,TRUE,109.7,37,100.4,110.3,119.5,111.4,116.1,109.1,2017,34,NH,1342795,198.690045762756,1.0426014395347,0,49.3746253151077,31.2035716546457,117.069247353468,1381.81926504046,191.689721811594,1121.98809200213,68.1414512267323,3161.01862160643,37395,New England
New Jersey,69623,Newark,86,24,4.72,2.87,11,8,NA,NA,TRUE,125.1,42,109.5,163.1,101.6,111.1,101.7,111.7,2017,35,NJ,9005644,228.789856672105,3.59774381487876,0,16.7117421030634,87.6672451187278,120.813125635435,1555.53561744168,265.289189757001,1155.10895167519,135.137476009489,3568.65094822758,51443,Middle Atlantic
New Mexico,47500,Santa Fe,86,17,2.32,0.51,NA,NA,NA,NA,TRUE,87.5,5,100.9,77.7,87.9,91.6,100.1,87.9,2017,36,NM,2088070,783.450746383024,7.08788498469879,0,60.2949134847012,178.250729142222,537.817218771401,3941.72609155823,858.065103181407,2519.8867854047,563.774202972123,9450.35367588251,36405,Mountain
New York,79637,New York,85,26,4.53,2.95,12,8,302,154,TRUE,139.1,48,114.8,204.4,108.7,116.6,104.8,111.5,2017,38,NY,19849399,356.68082444209,2.76078887829299,0,31.8599066903739,101.302815264079,220.757313609344,1514.17682721779,176.337832697101,1270.28027397706,67.5587205436296,3741.71530331976,45589,Middle Atlantic
North Carolina,49837,Charlotte,89,30,4.21,3.03,NA,NA,NA,NA,TRUE,94.9,22,96.6,83.1,97.9,93.4,110.6,101.8,2017,32,NC,10273419,363.695864054605,5.75270997902451,0,26.4274240153156,91.0115707341441,240.504159326121,2545.26754919662,630.61771353821,1760.87434962012,153.77548603829,5817.92682650245,37631,South Atlantic
North Dakota,51618,Bismarck,85,2,3.19,0.43,NA,NA,NA,NA,TRUE,98.8,28,108.1,90.3,93.6,104.3,111.7,100.5,2017,33,ND,755393,281.310523131668,1.32381422650197,0,52.8201876374285,24.225800344986,202.940720922751,2197.79637883857,389.466145436879,1573.61797104289,234.712262358799,4958.21380394047,38611,West North Central
Ohio,57000,Columbus,85,20,9.65,1.65,13,8,NA,NA,TRUE,90.8,15,98.7,73.6,91.8,96.7,97.6,99.7,2017,39,OH,11658609,297.488319575689,6.08992033269149,0,50.2547087735767,99.5401767054715,141.603513763949,2419.10505790185,502.401272741885,1742.98666333179,173.71712182817,5433.18675495507,35923,East North Central
Oklahoma,45245,Oklahoma City,94,29,4.92,1.38,NA,NA,NA,NA,FALSE,87,3,95.4,71.9,94.1,89.5,93.2,93.3,2017,40,OK,3930864,456.23557569023,6.15640734454308,0,54.4918369091375,76.3190993125176,319.268232124032,2876.3650942897,727.778931044167,1836.92440135298,311.661761892551,6665.20133995987,32010,West South Central
Oregon,61631,Salem,82,34,6.85,0.43,NA,NA,NA,NA,TRUE,134.2,47,110.3,181.8,88,136.7,113.2,117.2,2017,41,OR,4142776,281.791726127601,2.51039399668242,0,48.2526692246938,58.7045980762658,172.324064829959,2986.45159670714,427.370439531367,2145.34891579945,413.732241376314,6536.48664566947,36319,Pacific
Pennsylvania,65863,Philadelphia,87,26,4.33,2.64,NA,NA,NA,NA,TRUE,101.7,32,106.9,100.8,106,109.5,91.9,98.4,2017,42,PA,12805537,313.301972420212,5.77094111711207,0,32.806121289564,92.0929750935084,182.631934920027,1649.44273715347,250.337022180327,1297.70426652158,101.401448451557,3925.48941914736,44647,Middle Atlantic
Rhode Island,66477,Providence,83,21,11.46,5.79,12,8,291,147,TRUE,119.4,41,106.2,129.4,123.5,124,109.3,115.1,2017,44,RI,1059639,232.154535648461,1.88743524917448,0,41.9954342941322,44.7322154054352,143.539450699719,1751.63428299638,303.593959829716,1308.08699944038,139.953323726288,3967.57763728968,41689,New England
South Carolina,48598,Columbia,93,34,5.43,2.6,11,7,291,173,FALSE,95.9,23,101.9,85.1,107.6,88,94.2,102.1,2017,45,SC,5024369,506.17301396454,7.76216874198531,0,49.8371039229006,77.0245975166235,371.54914378303,3195.92370703664,623.083217016903,2289.08346500824,283.757025011499,7404.19344200237,33148,South Atlantic
South Dakota,42668,Columbia,84,0,3.58,0.43,NA,NA,NA,NA,TRUE,99.8,29,107,109.8,91.8,89.8,103,92.8,2017,46,SD,869666,433.614744051164,2.87466682611485,0,68.4170704615335,27.3668281846134,334.956178578903,1876.23754406864,311.268923931716,1405.94205131625,159.026568820674,4619.70457623961,38098,West North Central
Tennessee,48456,Memphis,92,33,5.75,2.87,NA,NA,NA,NA,TRUE,88.7,6,93.3,80.2,93.4,89.7,88.5,92.6,2017,47,TN,6715984,651.50542347927,7.84695139237973,0,43.6868223628883,117.0640072996,482.907642424401,2940.5668625774,576.475465099381,2088.27180052841,275.819596949606,7184.14457211333,37305,East South Central
Texas,52575,Austin,97,42,4.37,1.89,NA,NA,NA,NA,FALSE,91.5,18,88.9,85.3,102.3,91.4,96.2,94.5,2017,48,TX,28304596,438.93224973075,4.98858913230911,0,51.1224396207598,113.999154059645,268.822066918037,2562.58029614696,473.654525929287,1848.53724815574,240.388522061929,6003.02509175542,41481,West South Central
Utah,47244,Salt Lake City,90,26,2.32,0.59,10,4,377,135,TRUE,98.4,27,98.5,93.6,89.4,108.6,96,102.4,2017,49,UT,3101833,238.891004125625,2.35344713915933,0,54.7095862349778,47.3268547984369,134.501115953051,2780.22704639483,380.968285526655,2092.05331170311,307.205449165058,6038.2361010409,38499,Mountain
Vermont,60187,Burlington,81,10,4.17,1.77,14,11,300,90,TRUE,114.5,39,111.3,126.7,120.2,119.9,101.2,104.1,2017,52,VT,623657,165.796263009956,2.24482367711739,0,34.9551115436851,14.7516984496286,113.844629339525,1436.68715335513,297.278792669689,1108.30151830253,31.1068423829124,3204.96683273017,38499,New England
Virginia,51049,Richmond,90,28,4.65,2.72,11,7,306,163,FALSE,100.7,30,96.1,108,99.2,88.1,97.2,100.5,2017,51,VA,8470020,208.16952026087301,5.34827544681122,0,33.7897667301848,51.1450976503007,117.886380433576,1792.85290943823,218.039626824966,1454.71911518509,120.094167428176,4002.04485939821,40453,South Atlantic
Washington,54147,Seattle,76,36,6.54,0.67,18,4,312,52,TRUE,110.7,38,107.8,117.8,88.7,121.7,118.9,107.6,2017,53,WA,7405743,304.466412080462,3.10569783477498,0,43.9523758790982,72.7813536062486,184.626984760341,3173.57758701591,590.352649288532,2194.39156881355,388.833368913828,6956.08799819275,42240,Pacific
West Virginia,45701,Charleston,85,26,4.92,2.68,NA,NA,NA,NA,TRUE,91.1,17,92.9,79.6,89,93.5,89.1,100.1,2017,55,WV,1815857,350.688407732547,4.68098534190743,0,43.7809805507813,28.8568978724646,273.369543967394,1852.01808292173,420.077131624351,1266.61956310436,165.321388193013,4405.41298130855,33715,South Atlantic
Wisconsin,54998,Milwaukee,80,16,3.94,1.61,12,8,NA,NA,TRUE,97.3,25,100.7,91.4,98.9,98.1,115.2,98.3,2017,54,WI,5795483,319.887056868254,3.20939600720078,0,36.908054082809,74.9721809208999,204.797425857344,1808.33935670245,303.66752865982,1341.30321838577,163.368609656866,4256.45282714141,38181,East North Central
Wyoming,58650,Cheyenne,83,17,2.32,0.31,12,4,316,176,TRUE,89.3,10,98.7,72.3,87.3,99.3,94.9,97.2,2017,56,WY,579315,237.521900865678,2.58926490769271,0,45.3984447148788,13.1189421989764,176.41524904413,1830.43767207823,274.979933196965,1420.98858134176,134.469157539508,4135.91914588782,45241,Mountain
